012,ಮಾನವರೊ ದಾನವರೊ ಭೂಮಾತೆಯನು ತಣಿಸೆ |ಶೋಣಿತವನೆರೆಯುವರು ಬಾಷ್ಪ ಸಲುವುದಿರೆ? ||ಏನು ಹಗೆ! ಏನು ಧಗೆ! ಏನು ಹೊಗೆ! ಯೀ ಧರಣಿ |ಸೌನಿಕನ ಕಟ್ಟೆಯೇಂ? - ಮಂಕುತಿಮ್ಮ ||
013,ಪುರುಷಸ್ವತಂತ್ರತೆಯ ಪರಮಸಿದ್ಧಿಯದೇನು? |ಧರಣಿಗನುದಿನದ ರಕ್ತಾಭಿಷೇಚನೆಯೆ? ||ಕರವಾಲವನು ಪುಷ್ಪಸರವೆಂದು ಸೆಳೆದಾಡೆ |ಪರಿಮಳವ ಸೂಸುವುದೆ? - ಮಂಕುತಿಮ್ಮ ||
014,ಒಂದೆ ಗಗನವ ಕಾಣುತೊಂದೆ ನೆಲವನು ತುಳಿಯು |ತೊಂದೆ ಧಾನ್ಯವನುಣ್ಣುತೊಂದೆ ನೀರ್ಗುಡಿದು ||ಒಂದೆ ಗಾಳಿಯನುಸಿರ್ವ ನರಜಾತಿಯೊಳಗೆಂತು |ಬಂದುದೀ ವೈಷಮ್ಯ? - ಮಂಕುತಿಮ್ಮ ||
015,ಹಳೆಯ ಭಕ್ತಿಶ್ರದ್ಧೆಯಳಿಸಿಹೋಗಿವೆ ಮಾಸಿ |ಸುಳಿದಿಲ್ಲವಾವ ಹೊಸ ದರ್ಶನದ ಹೊಳಪುಂ ||ಪಳಗಿದ್ದ ಮನೆ ಬಿದ್ದ ಕುಂಟ ಕುರುಡನ ತೆರದಿ |ತಳಮಳಿಸುತಿದೆ ಲೋಕ - ಮಂಕುತಿಮ್ಮ ||
016,ಇಳೆಯ ಬಿಟ್ಟಿನ್ನು ಮೆತ್ತಲುಮೈದದ ಪ್ರೇತ |ವಲೆಯಂತೆ ಲೋಕ ತಲ್ಲಣಿಸುತಿಹುದಿಂದು ||ಹಳೆಧರ್ಮ ಸತ್ತಿಹುದು ಹೊಸಧರ್ಮ ಹುಟ್ಟಿಲ್ಲ |ತಳಮಳಕೆ ಕಡೆಯೆಂದೊ? - ಮಂಕುತಿಮ್ಮ ||
017,ತಳಮಳವಿದೇನಿಳೆಗೆ? ದೇವದನುಜರ್ ಮಥಿಸೆ |ಜಳನಿಧಿಯೊಳಾದಂತೆ ಸುಧೆಗೆ ಪೀಠಿಕೆಯೇಂ? ||ಹಾಳಾಹಳವ ಕುಡಿವ ಗಿರಿಶನಿದ್ದಿರ್ದೊಡೀ |ಕಳವಳವದೇತಕೆಲೊ? - ಮಂಕುತಿಮ್ಮ ||
018,ನದಿಯ ತೆರೆಯವೊಲುರುಳಿ ಹೊರಳುತಿರುವುದು ಜೀವ |ಮೊದಲಿಲ್ಲ ಮುಗಿವಿಲ್ಲ ನಿಲುವಿಲ್ಲವದಕೆ ||ಬದುಕೇನು ಸಾವೇನು ಸೊದೆಯೇನು ವಿಷವೇನು? |ಉದಕಬುದ್ಬುದವೆಲ್ಲ! - ಮಂಕುತಿಮ್ಮ ||
019,ಗಾಳಿ ಮಣ್ಣುಂಡೆಯೊಳಹೊಕ್ಕು ಹೊರಹೊರಳಲದು |ಆಳೆನಿಪುದಂತಾಗದಿರೆ ಬರಿಯ ಹೆಂಟೆ ||ಬಾಳೇನು ಧೂಳು ಸುಳಿ; ಮರ ತಿಕ್ಕಿದುರಿಯ ಹೊಗೆ |ಕ್ಷ್ವೇಳವೇನಮೃತವೇಂ? - ಮಂಕುತಿಮ್ಮ ||
020,ಕಂಡ ದೈವಕ್ಕೆಲ್ಲ ಕೈಯ ಮುಗಿದೇನಹುದು? |ಚಂಡಚತುರೋಪಾಯದಿಂದಲೇನಹುದು? ||ತಂಡುಲದ ಹಿಡಿಯೊಂದು ತುಂಡುಬಟ್ಟೆಯದೊಂದು |ಅಂಡಲೆತವಿದಕೇನೊ? - ಮಂಕುತಿಮ್ಮ ||
021,ಹೊನ್ನೆಂದು ಜಗದಿ ನೀಂ ಕೈಗೆ ಕೊಂಡುದನು ವಿಧಿ |ಮಣ್ಣೆನುವನ್; ಅವನ ವರ ಮಣ್ಣೆನುವೆ ನೀನು ||ಭಿನ್ನಮಿಂತಿರೆ ವಸ್ತುಮೌಲ್ಯಗಳ ಗಣನೆಯೀ |ಪಣ್ಯಕ್ಕೆ ಗತಿಯೆಂತೊ? - ಮಂಕುತಿಮ್ಮ ||
022,ಕೃತ್ರಿಮವೊ ಜಗವೆಲ್ಲ | ಸತ್ಯತೆಯದೆಲ್ಲಿಹುದೊ? |ಕರ್ತೃವೆನಿಸಿದನೆ ತಾಂ ಗುಪ್ತನಾಗಿಹನು ||ಚತ್ರವೀ ಜಗವಿದರೊಳಾರ ಗುಣವೆಂತಹುದೊ! |ಯಾತ್ರಿಕನೆ; ಜಾಗರಿರೊ - ಮಂಕುತಿಮ್ಮ ||
023,ತಿರುತಿರುಗಿ ತೊಳಲುವುದು ತಿರಿದನ್ನವುಣ್ಣುವುದು |ಮೆರೆದು ಮೈಮರೆಯುವುದು ಹಲ್ಲ ಕಿರಿಯುವುದು ||ಮರಳಿ ಕೊರಗಾಡುವುದು ಕೆರಳುವುದು ನರಳುವುದು |ಇರವಿದೇನೊಣರಗಳೆ? - ಮಂಕುತಿಮ್ಮ ||
024,ನರರ ಭಯಬಯಕೆಗಳೆ ಸುರರ ತಾಯ್ತಂದೆಗಳೊ? |ಸುರರಟ್ಟಹಾಸದಿನೆ ನರಭಕ್ತಿಯೊರಲೋ? ||ಪರಿಕಿಸುವರೇನವರ್ಗಳನ್ಯೋನ್ಯಶಕ್ತಿಗಳ? |ಧರುಮವೆಲ್ಲಿದರಲ್ಲಿ? - ಮಂಕುತಿಮ್ಮ ||
025,ಜೀವಗತಿಗೊಂದು ರೇಖಾಲೇಖವಿರಬೇಕು |ನಾವಿಕನಿಗಿರುವಂತೆ ದಿಕ್ಕು ದಿನವೆಣಿಸೆ ||ಭಾವಿಸುವುದೆಂತದನು ಮೊದಲು ಕೊನೆ ತೋರದಿರೆ? |ಆವುದೀ ಜಗಕಾದಿ? - ಮಂಕುತಿಮ್ಮ ||
026,ಸೃಷ್ಟಿಯಾಶಯವದೇನಸ್ಪಷ್ಟ ಸಂಶ್ಲಿಷ್ಟ |ಇಷ್ಟ ಮೋಹಕ ದಿವ್ಯಗುಣಗಳೊಂದು ಕಡೆ ||ಕಷ್ಟ ಬೀಭತ್ಸ ಘೋರಂಗಳಿನ್ನೊಂದು ಕಡೆ |ಕ್ಲಿಷ್ಟವೀ ಬ್ರಹ್ಮಕೃತಿ - ಮಂಕುತಿಮ್ಮ ||
027,ಧರೆಯ ಬದುಕೇನದರ ಗುರಿಯೇನು ಫಲವೇನು? |ಬರಿ ಬಳಸು ಬಡಿದಾಟ ಬರಿ ಪರಿಭ್ರಮಣೆ ||ತಿರುತಿರುಗಿ ಹೊಟ್ಟೆ ಹೊರಕೊಳುವ ಮೃಗಖಗಕಿಂತ |ನರನು ಸಾಧಿಪುದೇನು? - ಮಂಕುತಿಮ್ಮ ||
028,ಕಾರುಣ್ಯ ಸರಸ ಸೌಂದರ್ಯ ರುಚಿಗಳೆ ಸೃಷ್ಟಿ- |ಕಾರಣಮೆನಿಪ್ಪವೊಲು ತೋರ್ಪುದೊಂದು ಚಣ ||ಕಾರ್ಪಣ್ಯ ಕಟುಕತೆಗಳೆನಿಪುದಿನ್ನೊಂದು ಚಣ |ತೋರದಾವುದು ದಿಟವೊ - ಮಂಕುತಿಮ್ಮ ||
029,ಎರಡುಮಿರಬಹುದು ದಿಟ; ಶಿವರುದ್ರನಲೆ ಬೊಮ್ಮ! |ಕರವೊಂದರಲಿ ವೇಣು; ಶಂಖವೊಂದರಲಿ! ||ಬೆರಳ್ಗಳೆರಡಾನುಮಿರೆ ಕೈ ಚಿಟಿಕೆಯಾಡುವುದು |ಒರುವನಾಡುವುದೆಂತು? - ಮಂಕುತಿಮ್ಮ ||
030,ಬ್ರಹ್ಮವೇ ಸತ್ಯ; ಸೃಷ್ಟಿಯೆ ಮಿಥ್ಯೆಯೆನ್ನುವೊಡೆ |ಸಂಬಂಧವಿಲ್ಲವೇನಾ ವಿಷಯಯುಗಕೆ? ||ನಮ್ಮ ಕಣ್ಮನಸುಗಳೆ ನಮಗೆ ಸಟೆ ಪೇಳುವೊಡೆ |ನೆಮ್ಮುವುದದಾರನೋ? - ಮಂಕುತಿಮ್ಮ ||
031,ಬಚ್ಚಿಟ್ಟುಕೊಂಡಿಹುದೆ ಸತ್ಯ ಮಿಥ್ಯೆಯ ಹಿಂದೆ? |ನಚ್ಚುವುದೆ ಮರೆಯೊಳಿಹುದನೆ ಸತ್ಯವೆಂದು? ||ಅಚ್ಚರಿಯ ತಂತ್ರವಿದು; ಬ್ರಹ್ಮ ಸೃಷ್ಟಿಗಳೇಕೊ |ಮುಚ್ಚಿಹವು ಸಾಜತೆಯ - ಮಂಕುತಿಮ್ಮ ||
032,ಪರಬೊಮ್ಮನೀ ಜಗವ ರಚಿಸಿದವನಾದೊಡದು |ಬರಿಯಾಟವೋ ಕನಸೊ ನಿದ್ದೆ ಕಲವರವೋ? ||ಮರುಳನವನಲ್ಲದೊಡೆ ನಿಯಮವೊಂದಿರಬೇಕು |ಗುರಿಗೊತ್ತದೇನಿಹುದೊ? - ಮಂಕುತಿಮ್ಮ ||
033,ನರಪರೀಕ್ಷೆಯೆ ಬೊಮ್ಮನಾಶಯವೆ? ನಮ್ಮ ಬಾಳ್ |ಬರಿ ಸಮಸ್ಯೆಯೆ? ಅದರ ಪೂರಣವದೆಲ್ಲಿ? ||ಸುರಿದು ಪ್ರಶ್ನೆಗಳನುತ್ತರವ ಕುಡೆ ಬಾರದನ |ಗುರುವೆಂದು ಕರೆಯುವೆಯ? - ಮಂಕುತಿಮ್ಮ ||
034,ಎಷ್ಟು ಚಿಂತಿಸಿದೊಡಂ ಶಂಕೆಯನೆ ಬೆಳೆಸುವೀ |ಸೃಷ್ಟಿಯಲಿ ತತ್ತ್ವವೆಲ್ಲಿಯೊ ಬೆದಕಿ ನರನು ||ಕಷ್ಟಪಡುತಿರಲೆನುವುದೇ ಬ್ರಹ್ಮವಿಧಿಯೇನೊ! |ಅಷ್ಟೆ ನಮ್ಮಯ ಪಾಡು? - ಮಂಕುತಿಮ್ಮ ||
035,ಇರಬಹುದು; ಚಿರಕಾಲ ಬೊಮ್ಮ ಚಿಂತಿಸಿ ದುಡಿದು |ನಿರವಿಸಿಹ ವಿಶ್ವಚಿತ್ರವ ಮರ್ತ್ಯನರನು ||ಅರಿತೆನಾನೆನ್ನುವಂತಾಗೆ ಕೃತಿಕೌಶಲದ |ಹಿರಿಮೆಗದು ಕುಂದಲ್ತೆ? - ಮಂಕುತಿಮ್ಮ ||
036,ಎಲ್ಲೆಲ್ಲಿಯುಂ ಮೋಹಸಂಭ್ರಾಂತಿಗಳ ಕವಿಸಿ |ಸಲ್ಲದ ಕುಮಾರ್ಗದೊಳು ನಿನ್ನ ತಾಂ ನಡಸಿ ||ಗೆಲ್ಲಲಿಲ್ಲಿವನಾ ಪರೀಕ್ಷೆಯೊಳಗೆಂದು ವಿಧಿ |ಸೊಲ್ಲಿಪುದು ಸರಿಯೇನೊ? - ಮಂಕುತಿಮ್ಮ ||
037,ಅವತರಿಸಿಹನು ಬೊಮ್ಮ ವಿಶ್ವದೇಹದೊಳೆನ್ನೆ |ಅವನ ವೇಷಗಳೇಕೆ ಮಾರ್ಪಡುತಲಿಹವು? ||ತವಕಪಡನೇತಕೋ ಕುರುಹ ತೋರಲು ನಮಗೆ |ಅವಿತುಕೊಂಡಿಹುದೇಕೊ? - ಮಂಕುತಿಮ್ಮ ||
038,ಬೇರಯಿಸಿ ನಿಮಿಷನಿಮಿಷಕಮೊಡಲಬಣ್ಣಗಳ |ತೋರಿಪೂಸರವಳ್ಳಿಯಂತೇನು ಬೊಮ್ಮಂ? ||ಪೂರ ಮೈದೋರೆನೆಂಬಾ ಕಪಟಿಯಂಶಾವ |ತಾರದಿಂದಾರ್ಗೇನು? - ಮಂಕುತಿಮ್ಮ ||
039,ಪುಸಿಯ ನೀಂ ಪುಸಿಗೈದು ದಿಟವ ಕಾಣ್ಬವೊಲೆಸಗೆ |ಮುಸುಕ ತಳೆದಿಹನು ಪರಬೊಮ್ಮನೆನ್ನುವೊಡೆ ||ಒಸೆದೇತಕವನೀಯನೆಮಗೊಂದು ನಿಜಕುರುಹ |ನಿಶೆಯೊಳುಡುಕರದವೊಲು? - ಮಂಕುತಿಮ್ಮ ||
040,ನಿಶಿಯೊಳೇಂ ಕಾಣಬಾರನು ಹಗಲನೊಲ್ಲದೊಡೆ? |ಶಶಿರವಿಗಳವನ ಮನೆಕಿಟಕಿಯಾಗಿರರೇಂ? ||ಮಸಕುಬೆಳಕೊಂದಾದ ಸಂಜೆಮಂಜೇನವನು |ಮಿಸುಕಿ ಸುಳಿಯುವ ಸಮಯ? - ಮಂಕುತಿಮ್ಮ ||
041,ಕದಕಗಳಿಯನು ಬಿಗಿದು ಬೊಮ್ಮ ಗುಡಿಯೊಳಗಿರಲಿ |ಅದರ ಕೀಲ್ಕುಂಚಿಕೆಯ ಹೊರಕೆಸೆಯೆ ಸಾಕು ||ಪದವಾಕ್ಯವಿದರಾಗ ವಾದಗಡಣೆಯ ಬಿಟ್ಟು |ಒದವಿಪರು ದಿಟದರಿವ - ಮಂಕುತಿಮ್ಮ ||
042,ಆಹ! ಈ ಮೋಹಗಳೊ ನೇಹಗಳೊ ದಾಹಗಳೊ |ಊಹಿಪೆಯ ಸೃಷ್ಟಿಯಲಿ ಹೃದಯವಿಹುದೆಂದು? ||ಹೋಹೊ ಹಾಹಾ ಎಂದು ನಮ್ಮ ಬಾಯ್ಬಿಡಿಸುವುದೆ |ಈ ಹರಿಬದೊಳಗುಟ್ಟೊ? - ಮಂಕುತಿಮ್ಮ ||
043,ಮೇಲೆ ಕೆಳಗೊಳಗೆ ಬಳಿ ಸುತ್ತಲೆತ್ತೆತ್ತಲುಂ |ಮೂಲೆಮುಲೆಯಲಿ ವಿದ್ಯುಲ್ಲಹರಿಯೊಂದು ||ಧೂಲಿಕಣ ಭೂಗೋಳ ರವಿ ಚಂದ್ರ ತಾರೆಗಳ |ಚಾಲಿಪುದು ಬಿಡು ಕೊಡದೆ - ಮಂಕುತಿಮ್ಮ ||
044,ಮಂದಾಕ್ಷಿ ನಮಗಿಹುದು ಬಲುದೂರ ಸಾಗದದು |ಸಂದೆ ಮಸಕಿನೊಳಿಹುದು ಜೀವನದ ಪಥವು ||ಒಂದುಮೆಟುಕದು ಕೈಗೆ; ಏನೊ ಕಣ್ಕೆಣಕುವುದು |ಸಂದಿಯವೆ ನಮ್ಮ ಗತಿ! - ಮಂಕುತಿಮ್ಮ ||
045,ಬೆಂಕಿಯುಂಡೆಯ ಬೆಳಕು ಬೆಣ್ಣೆಯುಂಡೆಯ ಬೆಳಕು |ಮಂಕುವಿಡಿಸಲು ಸಾಕು ಮಣ್ಣುಂಡೆ ಕಣ್ಗೆ ||ಶಂಕೆಗೆಡೆಯಿರದು ಕತ್ತಲೆಯೆ ಜಗವನು ಕವಿಯೆ |ಬೊಂಕುದೀವಿಗೆ ತಂಟೆ - ಮಂಕುತಿಮ್ಮ ||
046,ಇರಲಿ ಜೀವರಹಸ್ಯವರೆಪರದೆಯೊಳಗಡಗಿ |ಅರಸಿ ವರಿಸುವರಾರು ಬೀದಿಬತ್ತಲಿಯ? ||ಅರಳಿಪುದದಡಗಿರ್ಡೊಡಾಗ ನಮ್ಮೆದೆಗಣ್ಣ |ಸುರಸತೆಯ ಕುತುಕದಿಂ - ಮಂಕುತಿಮ್ಮ ||
047,ಅರೆಗಣ್ಣು ನಮದೆಂದು ಕೊರಕೊರಗಿ ಫಲವೇನು? |ಅರೆಬೆಳಕು ಧರೆಯೊಳೆಂದೊರಲಿ ಸುಖವೇನು? ||ಇರುವ ಕಣ್ಣಿರುವ ಬೆಳಕಿನೊಳಾದನಿತ ನೋಡಿ |ಪರಿಕಿಸಿದೊಡದು ಲಾಭ - ಮಂಕುತಿಮ್ಮ ||
048,ಒಂದಿಹುದುಪಾಯವೋರೊರ್ವನರೆಗಣ್ಣುಗಳು |ಮೊಂದೊಂದು ಸತ್ಯಾಂಶಕಿರಣಗಳ ಪಿಡಿದು ||ಒಂದುಗೂಡಿದೊಡವರ್ಗಳರಿವನೆಲ್ಲವನಾಗ |ಮುಂದು ಸಾಗುವೆವಿನಿತು - ಮಂಕುತಿಮ್ಮ ||
049,ಪಂಡಿತರೆ ಶಾಸ್ತ್ರಿಗಳೆ ಮಿಥ್ಯೆಯಿಂ ತಥ್ಯಕ್ಕೆ |ಖಂಡಿತದಿ ಸೇತುವೆಯ ಕಟ್ಟುವೊಡೆ ನೀವು ||ಕಂಡಿಹಿರ ನರಹೃದಯದಾಳ ಸುಳಿ ಬಿರುಬುಗಳ? |ದಂಡವದನುಳಿದ ನುಡಿ - ಮಂಕುತಿಮ್ಮ ||
050,ಮನೆಯೆಲ್ಲಿ ಸತ್ಯಕ್ಕೆ? ಶ್ರುತಿ ತರ್ಕಮಾತ್ರದೊಳೆ? |ಅನುಭವಮುಮದರೊಂದು ನೆಲೆಯಾಗದಿಹುದೇಂ? ||ಮನು{ಜ}ಹೃದಯಾಂಗಣದೊಳೆನಿತೆನಿತೊ ದನಿಯುದಿಸಿ |ಅಣಕಿಪುವು ತರ್ಕವನು - ಮಂಕುತಿಮ್ಮ ||
051,ಸೆಳೆಯುತಿರುವುದದೊಂದು ಹೊರಬೆಡಗಿನೆಳೆಗಳೆ |ನ್ನೊಳಗಿನಸುವೆಲ್ಲವನು ಕಟ್ಟಿನಿಂ ಬಿಗಿದು ||ಎಳೆದಾಟವೇಂ ಋಣಾಕರ್ಷಣೆಯೊ? ಸೃಷ್ಟಿವಿಧಿ |ಯೊಳತಂತ್ರವೋ? ನೋಡು - ಮಂಕುತಿಮ್ಮ ||
052,ಗಗನನೀಲಿಮೆಯೆನ್ನ ಕಣ್ಗೆ ಸೊಗವೀವಂತೆ |ಮುಗಿವ ತರಣಿಯ ರಕ್ತ ಹಿತವೆನಿಸದೇಕೊ! ||ಸೊಗದ ಮೂಲವದೆಲ್ಲಿ ನೀಲದೊಳೊ ಕೆಂಪಿನೊಳೊ |ಬಗೆವೆನ್ನ ಮನಸಿನೊಳೊ? - ಮಂಕುತಿಮ್ಮ ||
053,ತೃಣಕೆ ಹಸಿರೆಲ್ಲಿಯದು? ಬೇರಿನದೆ? ಮಣ್ಣಿನದೆ? |ದಿನಪನದೆ? ಚಂದ್ರನದೆ? ನೀರಿನದೆ? ನಿನದೆ? ||ತಣಿತಣಿವ ನಿನ್ನ ಕಣ್ಣಿನ ಪುಣ್ಯವೋ? ನೋಡು |ಗುಣಕೆ ಕಾರಣವೊಂದೆ? - ಮಂಕುತಿಮ್ಮ ||
054,ಫಲವಿಲ್ಲ ಕಾರ್ಯಕಾರಣವಾದದಿಂ ತತ್ತ್ವ |ಸಿಲುಕದೆಮ್ಮಯ ತರ್ಕಕರ್ಕಶಾಂಕುಶಕೆ ||ಸುಳಿವುದಾಗೀಗಳದು ಸೂಕ್ಷ್ಮಾನುಭವಗಳಲಿ |ತಿಳಿಮನದೆ ನೋಳ್ಪರ್ಗೆ - ಮಂಕುತಿಮ್ಮ ||
055,ಕುರುಡನಿನಚಂದ್ರರನು ಕಣ್ಣಿಂದ ಕಾಣುವನೆ? |ಅರಿಯುವಂ ಸೋಂಕಿಂದೆ ಬಿಸಿಲುತಣಿವುಗಳ ||ನರನುಮಂತೆಯೆ ಮನಸಿನನುಭವದಿ ಕಾಣುವನು |ಪರಸತ್ತ್ವಮಹಿಮೆಯನು - ಮಂಕುತಿಮ್ಮ ||
056,ಮೇಲಿಂದ ನಕ್ಷತ್ರಜಯಘೋಷ ಸುತ್ತಣಿಂ |ಭೂಲೋಕದರಚು ಕೆಳಗಿಂ ಮೂಳೆಯಳುವು ||ಕೇಳಬರುತೀ ಮೂರುಕೂಗೆನ್ನ ಹೃದಯಲಿ |ಮೇಳಯಿಸುತಿದೆ ಸಂತೆ - ಮಂಕುತಿಮ್ಮ ||
057,ಆಗುಂಬೆಯಸ್ತಮಯ ದ್ರೋಣಪರ್ವತದುದಯ |ತ್ಯಾಗರಾಜನ ಗಾನ ವಾಲ್ಮೀಕಿ ಕವನ ||ಆಗಿಸವೆ ತಾವಿವೆಮ್ಮಂತರಂಗದಿ ಸತ್ಯ |ಯೋಗಪುಲಕಾಂಕುರವ? - ಮಂಕುತಿಮ್ಮ ||
058,ಮಲೆಕಣಿವೆಗಳ ಬೆರಗು ಪ್ರಕೃತಿಕೋಪದ ಗುಡುಗು |ಕೆಳೆಯೊಲವು ನಲ್ಲೆಯ ವಿಯೋಗವಿಂತಹವು ||ನಿಲಿಸಿ ಮನದೋಟವನು ಮೂಕಗೊಳಿಪುವುವೆನ್ನ |ನೊಳದನಿಯದೊಂದರಿಂ - ಮಂಕುತಿಮ್ಮ ||
059,ಮಣಿಮಂತ್ರತಂತ್ರಸಿದ್ಧಿಗಳ ಸಾಕ್ಷ್ಯಗಳೇಕೆ |ಮನಗಾಣಿಸಲು ನಿನಗೆ ದೈವದದ್ಭುತವ? ||ಮನುಜರೊಳಗಾಗಾಗ ತೋರ್ಪ ಮಹನೀಯಗುಣ |ವನುವಾದ ಬೊಮ್ಮನದು - ಮಂಕುತಿಮ್ಮ ||
060,ಗ್ರೀಸಿನಾ ಕಬ್ಬಗಳನೋದುವರು ದೆಹಲಿಯಲಿ |ಕಾಶಿಯಾ ಶಾಸ್ತ್ರಗಳನಾಕ್ಸ್ಫರ್ಡಿನವರು ||ದೇಶಕಾಲವಿಭಾಗ ಮನದ ರಾಜ್ಯದೊಳಿರದು |ಶ್ವಾಸವದು ಬೊಮ್ಮನದು - ಮಂಕುತಿಮ್ಮ ||
061,ನಕ್ಷತ್ರಮಂಡಲದಿನಾಚೆಯಿಂದೊಂದು ದನಿ |ವಕ್ಷೋಗುಹಾಂತರದಿನೊಂದು ದನಿಯಿಂತೀ ||ಸಾಕ್ಷಿದ್ವಯವು ನಿನ್ನೊಳೊಂದುಗೂಡಿದೊಡದೇ |ಪ್ರೇಕ್ಷ ಪರಬೊಮ್ಮನದು - ಮಂಕುತಿಮ್ಮ ||
062,ಭೌತವಿಜ್ಞಾನಿ ರವಿತಾರೆಧರೆಗಳ ಚಲನ |ರೀತಿ ವೇಗವನಳೆದು ಶಕ್ತಿಗಳ ಗುಣಿಪನ್ ||ಪ್ರೀತಿರೋಷಗಳನವನಳೆವನೇನ್? ಅವ್ಯಕ್ತ |ಚೇತನವನರಿವನೇಂ? - ಮಂಕುತಿಮ್ಮ ||
